"id","code","name","account_type","reconcile","tag_ids","tax_ids"
"by_830200","83.02.00","Эмиссионный доход от выпуска обыкновенных акций","asset_current","False","",""
"by_830300","83.03.00","Эмиссионный доход от выпуска привилегированных акций","asset_current","False","",""
"by_830400","83.04.00","Фонд пополнения собственных средств (6%)","asset_current","False","",""
"by_830500","83.05.00","Фонд накопления использованный","asset_current","False","",""
"by_830600","83.06.00","Фонд использования средств целевого финансирования","asset_current","False","",""
"by_830700","83.07.00","Фонд пополнения","asset_current","False","",""
"by_830800","83.08.00","Курсовые разницы по вкладам в уставный фонд","asset_current","False","",""
"by_830900","83.09.00","Другие источники","asset_current","False","",""
"by_840000","84.00.00","Нераспределенная прибыль (непокрытый убыток)","asset_current","False","",""
"by_840100","84.01.00","Прибыль, подлежащая распределению","asset_current","False","",""
"by_840200","84.02.00","Убыток, подлежащий покрытию","asset_current","False","",""
"by_840300","84.03.00","Нераспределенная прибыль в обращении","asset_current","False","",""
"by_840400","84.04.00","Нераспределенная прибыль использованная","asset_current","False","",""
"by_860000","86.00.00","Целевое финансирование","asset_current","False","",""
"by_860100","86.01.00","Целевое финансирование из бюджета","asset_current","False","",""
"by_860200","86.02.00","Прочее целевое финансирование и поступления","asset_current","False","",""
"by_900000","90.00.00","Доходы и расходы по текущей деятельности","asset_current","False","",""
"by_900100","90.01.00","Выручка от реализации продукции, товаров, работ, услуг","income","True","",""
"by_900101","90.01.01","Выручка от реализации продукции, товаров, работ, услуг","income","True","","sale_tax_template_vat20incl_by"
"by_900200","90.02.00","Налог на добавленную стоимость, исчисляемый из выручки от реализации продукции, товаров, работ, услуг","asset_current","False","",""
"by_900300","90.03.00","Прочие налоги и сборы, исчисляемые из выручки от реализации продукции, товаров, работ, услуг","asset_current","False","",""
"by_900301","90.03.01","Прочие налоги и сборы, исчисляемые из выручки от реализации продукции, товаров, работ, услуг","asset_current","False","",""
"by_900400","90.04.00","Себестоимость реализованной продукции, товаров, работ, услуг","expense","False","",""
"by_900401","90.04.01","Себестоимость реализованной продукции, товаров, работ, услуг","expense","False","",""
"by_900500","90.05.00","Управленческие расходы","expense","False","",""
"by_900501","90.05.01","Управленческие расходы","expense","False","",""
"by_900600","90.06.00","Расходы на реализацию","expense","False","",""
"by_900601","90.06.01","Расходы на реализацию","expense","False","",""
"by_900700","90.07.00","Прочие доходы по текущей деятельности","asset_current","False","",""
"by_900800","90.08.00","Налог на добавленную стоимость, исчисляемый от прочих доходов по текущей деятельности","asset_current","False","",""
"by_900900","90.09.00","Прочие налоги и сборы, исчисляемые от прочих доходов по текущей деятельности","asset_current","False","",""
"by_901000","90.10.00","Прочие расходы по текущей деятельности","expense","False","",""
"by_901100","90.11.00","Прибыль (убыток) от текущей деятельности","asset_current","False","",""
"by_910000","91.00.00","Прочие доходы и расходы","asset_current","False","",""
"by_910100","91.01.00","Прочие доходы","income","False","",""
"by_910200","91.02.00","Налог на добавленную стоимость","asset_current","False","",""
"by_910300","91.03.00","Прочие налоги и сборы, исчисляемые от прочих доходов","asset_current","False","",""
"by_910400","91.04.00","Прочие расходы","expense","False","",""
"by_910500","91.05.00","Сальдо прочих доходов и расходов","asset_current","False","",""
"by_930000","93.00.00","Страховые взносы (премии)","expense","False","",""
"by_930100","93.01.00","Страховые взносы (премии) по прямому страхованию","expense","False","",""
"by_930200","93.02.00","Страховые премии и портфель премий, полученные по рискам, принятым в перестрахование","expense","False","",""
"by_930300","93.03.00","Уплаченные страховые премии по рискам, переданным в перестрахование","expense","False","",""
